state,date,gdp,gdp_growth_rate,unemployment_rate,edu_attainment
"Alabama","2010","183014.5","2.3","10.54","19.7",
"Alaska","2010","54219","-3","7.87","22.76",
"Arizona","2010","257396.9","1","10.37","24.14",
"Arkansas","2010","105223.6","2.6","8.19","17.91",
"California","2010","2056990.4","1.5","12.24","27.11",
"Colorado","2010","265319.3","1.1","8.74","32.99",
"Connecticut","2010","247876.8","-0.3","9.12","33.4",
"Delaware","2010","60577","-0.4","8.41","25.07",
"District of Columbia","2010","109940.9","3.4","9.41","46.94",
"Florida","2010","766653.9","1","11.06","24.26",
"Georgia","2010","430702","1.3","10.53","24.23",
"Hawaii","2010","71075","2.8","6.95","26.24",
"Idaho","2010","57952.9","1.5","8.97","22.77",
"Illinois","2010","694001.9","1.5","10.39","28.22",
"Indiana","2010","295526","6.4","10.38","20.82",
"Iowa","2010","150099.2","2.7","6.01","22.66",
"Kansas","2010","135182","1.1","7.05","26.56",
"Kentucky","2010","172266.7","4.2","10.21","18.29",
"Louisiana","2010","247856.5","3.7","7.97","18.47",
"Maine","2010","53790.1","1.3","8.13","23.76",
"Maryland","2010","327088.7","3.9","7.66","33.2",
"Massachusetts","2010","425028.7","4.2","8.31","35.96",
"Michigan","2010","400941.8","5.5","12.61","23.09",
"Minnesota","2010","285746.3","3.5","7.4","29.13",
"Mississippi","2010","100043.3","0.3","10.39","16.35",
"Missouri","2010","269057.9","1.6","9.58","23.07",
"Montana","2010","40595.1","3.1","7.3","25.45",
"Nebraska","2010","97830.1","3.7","4.63","25.84",
"Nevada","2010","128878.9","1.4","13.53","20.23",
"New Hampshire","2010","66460.5","3.2","5.84","29.66",
"New Jersey","2010","516400.5","1.1","9.52","33.23",
"New Mexico","2010","87053.8","-0.7","8.11","22.39",
"New York","2010","1267972","3.8","8.6","29.58",
"North Carolina","2010","433916.7","1.5","10.85","23.55",
"North Dakota","2010","37974.9","7.6","3.78","23.54",
"Ohio","2010","520300.6","2.7","10.26","23.01",
"Oklahoma","2010","159534.9","0.1","6.79","20.77",
"Oregon","2010","169013.8","1.5","10.63","26.4",
"Pennsylvania","2010","622140","2.8","8.46","25.36",
"Rhode Island","2010","51364.7","2.3","11.2","27.69",
"South Carolina","2010","170151.9","1.9","11.16","22.06",
"South Dakota","2010","40367.3","1.2","4.98","23.39",
"Tennessee","2010","266473.5","1.4","9.67","21.08",
"Texas","2010","1301808.3","2.4","8.15","23.62",
"Utah","2010","123476.3","2","7.84","27.54",
"Vermont","2010","28116.1","4.1","6.1","28.82",
"Virginia","2010","437964.5","2.8","7.15","31.25",
"Washington","2010","381512.8","2.3","9.99","28.53",
"West Virginia","2010","68474","1.2","8.66","16.15",
