GeoFips,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,United States,15598753,15840664,16197007,16495369,16912038,17432170,17730509,18144105,18687786,19091662
1000,Alabama,183014.5,185666.9,186553.9,188814.2,187568,189428.8,191523.4,193693,198053.7,200829.4
2000,Alaska,54219,54722.6,57717.5,54748.1,53480.6,54015.3,53289,52825.9,52928.7,53255.2
4000,Arizona,257396.9,263144.1,268068.2,269967.4,274112.9,281935.6,291259.6,302117.8,314016.1,323597.6
5000,Arkansas,105223.6,107320.6,107718.8,110301.4,111729.9,112938.9,113490.4,114950.7,116698.8,117447.1
6000,California,2056990.4,2090836.8,2144089.6,2219610.5,2316331.2,2437366.9,2519133.6,2628314.6,2708966.9,2800505.4
8000,Colorado,265319.3,268553.4,273593.9,282605.5,294812,308898.9,315793,328510.2,342865.6,356280.2
9000,Connecticut,247876.8,242323.3,244114.4,238621.4,237700.4,245304.5,245966.1,248077.1,249043.3,251329.8
10000,Delaware,60577,62501.4,61866.7,59496.1,64123.6,66527,62889,61851.1,63162.6,64319.3
11000,District of Columbia,109940.9,111929.5,112610,112811.4,114814.8,117011,119420.2,120210.9,122661.9,123929.3
12000,Florida,766653.9,763484.1,768722.9,784238.4,806029.4,842269.4,870963.2,901903.5,936580.3,963255.9
13000,Georgia,430702,438060.2,443566.1,449796.1,465137.8,484378.4,500909.3,519452.6,538730.8,547422.7
15000,Hawaii,71075,72236.3,73676.7,74294.1,74490.6,77176.6,79093.5,81039.5,82203.9,82471.4
16000,Idaho,57952.9,57825.3,57780.1,59966.8,61663.2,63235.7,65643.2,68412.2,72455.4,74937.1
17000,Illinois,694001.9,706705.2,720881.5,719922.2,735876.3,747666.8,746370,752459.2,769631.2,773135.5
18000,Indiana,295526,296674.3,297816.1,303966.8,313830.9,311850.4,316545.6,322969.3,332156.8,337636.1
19000,Iowa,150099.2,152153.2,157838.6,157902.5,165641.4,170545.9,169488.8,168976.5,172844.7,173515.4
20000,Kansas,135182,138782,140764.1,140355.8,144131.5,147929.8,152511.5,154456.6,158192.7,160059.3
21000,Kentucky,172266.7,174202.7,176323.1,179499.1,179888.5,182487.9,183454.9,184600.8,187507.4,190811.5
22000,Louisiana,247856.5,234299.7,233481.2,226345.4,232746.2,230434,225361.8,228819.3,235021.9,239967.2
23000,Maine,53790.1,53088.2,52866.6,52456.3,53445.1,53879.3,55088.1,55964.7,57302.7,58793.3
24000,Maryland,327088.7,333963.8,334555.5,334431,339991.3,349146.8,359987.5,365857,368810.4,374039.3
25000,Massachusetts,425028.7,435158,444478.2,446190.4,453778.2,471979.2,479184.9,490874.1,507806,519961.6
26000,Michigan,400941.8,411427.2,418742.3,425327.3,430935.6,442287.6,451025.9,457341.5,467828,471648.1
27000,Minnesota,285746.3,292275.1,296272.5,303222.5,312084,316863.3,321980,327667.5,337215.9,341041.4
28000,Mississippi,100043.3,98765.3,99616.3,99456.4,99501.2,100013.6,100412.1,101071.7,102061.7,102656.4
29000,Missouri,269057.9,266254.6,268861.9,271475.9,272786.8,276316.7,276210.9,279264.3,284696.3,287659.3
30000,Montana,40595.1,41511.3,42041.6,42429.7,43285.1,45042.5,44580.7,45480.6,46627.5,47916.3
31000,Nebraska,97830.1,102685.1,102605.3,103974.8,107394.4,110752.9,111611.7,113754.2,115087.9,117395.2
32000,Nevada,128878.9,129748.1,127789.1,128341.2,129405.2,134892.2,138638.9,143590.9,149663,153728.6
33000,New Hampshire,66460.5,66859.3,67635.7,68124.5,69506.5,71419.1,73022.7,74253.6,76165.3,77240.3
34000,New Jersey,516400.5,510773.3,519569,526889.9,524420.4,535284.5,540380.3,540656.6,549000.8,556731
35000,New Mexico,87053.8,87225,87644.8,86624.8,89372.2,91679.5,91713.9,91772.3,93870.9,98765.7
36000,New York,1267972,1270516.7,1323400.8,1325490,1347559.8,1372232.4,1397723.7,1424905.5,1467076.8,1490678.5
37000,North Carolina,433916.7,438423.4,439539.7,445109.6,455295.7,469535.6,477523.8,489026.6,501955,511539.9
38000,North Dakota,37974.9,42208.5,51624.6,52385.5,56554.6,55067.4,51137.3,51291.2,53472.8,53930.2
39000,Ohio,520300.6,536583.2,540882.4,550692.3,571424.7,579943.2,585044.7,592725.7,606141.5,615474.4
40000,Oklahoma,159534.9,165209.7,173238.8,176862.6,186307,193237.7,188063.3,188157.2,193204.7,197900.4
41000,Oregon,169013.8,173881.1,174427.6,175811.6,181754.9,191864.2,201059.5,209581.3,219279.9,225336.8
42000,Pennsylvania,622140,630906.6,640663.1,650802.3,666555.8,682527,691316.2,695560.8,708856.9,726165.9
44000,Rhode Island,51364.7,51262.8,51607.4,51679,52005.5,52957.8,53030.2,52727.7,53135.5,53668
45000,South Carolina,170151.9,174119.1,175328.5,178757.4,183579.7,190294.1,196477.4,202644.5,209012.5,214933.7
46000,South Dakota,40367.3,42947.2,43550.7,43737.7,44449.7,45371.8,45733.6,46023.9,47287,47559.7
47000,Tennessee,266473.5,274626.7,283482,287259,291661.7,302970.2,308157.4,314849.9,323316.8,328406.3
48000,Texas,1301808.3,1343700.8,1410447.8,1470464.6,1518613.7,1595969.5,1606579.8,1651329.5,1715231,1764357.2
49000,Utah,123476.3,127216.9,128764.2,132169.1,136325.2,141602,147555.5,153986,162574.4,168792.7
50000,Vermont,28116.1,28732.9,28893.6,28367.9,28510.1,28876.6,29206.3,29312.4,29565.4,29806.2
51000,Virginia,437964.5,442260.6,445120.7,446625,446790.6,455830,460185,468125.4,478835,489168.4
53000,Washington,381512.8,388099,400623.3,411468.9,426481.6,446628.3,463974,489435,524486.9,548686.7
54000,West Virginia,68474,69577.2,69335.6,70121.2,69720.7,70332.7,69276.4,69743.2,71858.7,72340.4
55000,Wisconsin,265116.5,270666.3,274540.5,275648.7,282031.2,288260.1,291320.5,294151.7,303767.4,308044.7
56000,Wyoming,39842.9,39440.3,38437.7,38523.2,38711.1,39899,38079.7,37866.3,38696.3,39214
91000,New England,872608.7,877422.2,889595.8,885435.3,894930.1,924397.5,935470.4,951181.7,972989.6,990777.5
92000,Mideast,2904115.1,2920656,2992665,3009890.1,3057471,3122663.6,3171702.8,3209379.8,3280345.4,3336480.6
93000,Great Lakes,2175859.2,2222060.4,2252862.7,2275544.1,2334059.9,2370031.5,2390340.4,2419655.8,2479518,2505871.8
94000,Plains,1016303.2,1037272.5,1061517.9,1073049.4,1103027.9,1122877.1,1128865,1141633.1,1168963.7,1181310.4
95000,Southeast,3382534,3400821.4,3428788.9,3466378.7,3529757.8,3631524,3699273.1,3790818.7,3901739,3981051.8
96000,Southwest,1805770.3,1859237.4,1939399.5,2003922.4,2068424.7,2162768.2,2178408.5,2234576.5,2317630.1,2386060.9
97000,Rocky Mountain,527198.1,534554.7,540617.5,555700.5,574822.4,598732.2,612042.5,634833.8,663932.3,687941.6
98000,Far West,2861634.4,2909467.2,2978323.8,3064232.5,3181845.2,3341931.9,3455461.8,3605311.7,3738194.2,3864650.3
