FIPS Code,State and area,Year,Month,Civilian non-institutional population,Civilian labor force Total,Civilian labor force Percent of population,Civilian labor force Employment Total,Civilian labor force Employment Percent of population,Civilian labor force Unemployment Total,Civilian labor force Unemployment Rate
1,Alabama,1976,1,2605000,1479554,56.8,1362852,52.3,116702,7.9
2,Alaska,1976,1,232000,153109,66,138852,59.8,14257,9.3
4,Arizona,1976,1,1621000,959530,59.2,847058,52.3,112472,11.7
5,Arkansas,1976,1,1536000,857544,55.8,781080,50.9,76464,8.9
6,California,1976,1,15621000,9686520,62,8689249,55.6,997271,10.3
37,Los Angeles County,1976,1,5273000,3356349,63.7,3030501,57.5,325848,9.7
8,Colorado,1976,1,1832000,1208430,66,1128988,61.6,79442,6.6
9,Connecticut,1976,1,2248000,1420938,63.2,1265037,56.3,155901,11
10,Delaware,1976,1,417000,260238,62.4,238840,57.3,21398,8.2
11,District of Columbia,1976,1,520000,338071,65,305548,58.8,32523,9.6
12,Florida,1976,1,6421000,3515001,54.7,3144721,49,370280,10.5
13,Georgia,1976,1,3522000,2220769,63.1,2022293,57.4,198476,8.9
15,Hawaii,1976,1,583000,404312,69.4,363706,62.4,40606,10
16,Idaho,1976,1,580000,356227,61.4,329258,56.8,26969,7.6
17,Illinois,1976,1,8127000,5054880,62.2,4669133,57.5,385747,7.6
18,Indiana,1976,1,3789000,2373120,62.6,2188401,57.8,184719,7.8
19,Iowa,1976,1,2066000,1299429,62.9,1229927,59.5,69502,5.3
20,Kansas,1976,1,1635000,1047226,64.1,994972,60.9,52254,5
21,Kentucky,1976,1,2459000,1467641,59.7,1367202,55.6,100439,6.8
22,Louisiana,1976,1,2672000,1474964,55.2,1369531,51.3,105433,7.1
23,Maine,1976,1,764000,465052,60.9,416650,54.5,48402,10.4
24,Maryland,1976,1,2954000,1891303,64,1749268,59.2,142035,7.5
25,Massachusetts,1976,1,4194000,2684716,64,2372836,56.6,311880,11.6
26,Michigan,1976,1,6417000,3874991,60.4,3458436,53.9,416555,10.7
27,Minnesota,1976,1,2788000,1799380,64.5,1662125,59.6,137255,7.6
28,Mississippi,1976,1,1640000,938077,57.2,868600,53,69477,7.4
29,Missouri,1976,1,3464000,2046765,59.1,1910116,55.1,136649,6.7
30,Montana,1976,1,531000,319876,60.2,294737,55.5,25139,7.9
31,Nebraska,1976,1,1095000,705785,64.5,674290,61.6,31495,4.5
32,Nevada,1976,1,451000,314923,69.8,281639,62.4,33284,10.6
33,New Hampshire,1976,1,593000,384590,64.9,353609,59.6,30981,8.1
34,New Jersey,1976,1,5358000,3226465,60.2,2868894,53.5,357571,11.1
35,New Mexico,1976,1,792000,462112,58.3,419686,53,42426,9.2
36,New York,1976,1,13196000,7634660,57.9,6780218,51.4,854442,11.2
51000,New York city,1976,1,5694000,3114165,54.7,2757164,48.4,357001,11.5
37,North Carolina,1976,1,3898000,2535710,65.1,2341807,60.1,193903,7.6
38,North Dakota,1976,1,442000,264776,59.9,253039,57.2,11737,4.4
39,Ohio,1976,1,7701000,4674757,60.7,4243071,55.1,431686,9.2
40,Oklahoma,1976,1,1999000,1164085,58.2,1080279,54,83806,7.2
41,Oregon,1976,1,1716000,1059337,61.7,929956,54.2,129381,12.2
42,Pennsylvania,1976,1,8774000,5024297,57.3,4576097,52.2,448200,8.9
44,Rhode Island,1976,1,691000,431441,62.4,389066,56.3,42375,9.8
45,South Carolina,1976,1,1984000,1273770,64.2,1161226,58.5,112544,8.8
46,South Dakota,1976,1,477000,298193,62.5,284648,59.7,13545,4.5
47,Tennessee,1976,1,3078000,1772185,57.6,1650401,53.6,121784,6.9
48,Texas,1976,1,8818000,5517872,62.6,5169022,58.6,348850,6.3
49,Utah,1976,1,824000,510755,62,474361,57.6,36394,7.1
50,Vermont,1976,1,339000,209091,61.7,187802,55.4,21289,10.2
51,Virginia,1976,1,3534000,2289688,64.8,2129197,60.2,160491,7
53,Washington,1976,1,2598000,1555779,59.9,1392245,53.6,163534,10.5
54,West Virginia,1976,1,1352000,690286,51.1,623167,46.1,67119,9.7
55,Wisconsin,1976,1,3245000,2080567,64.1,1943141,59.9,137426,6.6
56,Wyoming,1976,1,270000,170210,63,160423,59.4,9787,5.7
1,Alabama,1976,2,2610000,1483434,56.8,1368596,52.4,114838,7.7
2,Alaska,1976,2,234000,154669,66.1,140053,59.9,14616,9.4
4,Arizona,1976,2,1626000,962783,59.2,858119,52.8,104664,10.9
5,Arkansas,1976,2,1538000,868205,56.5,794436,51.7,73769,8.5
6,California,1976,2,15657000,9704574,62,8735059,55.8,969515,10
37,Los Angeles County,1976,2,5283000,3367868,63.7,3054035,57.8,313833,9.3
8,Colorado,1976,2,1837000,1210185,65.9,1133412,61.7,76773,6.3
9,Connecticut,1976,2,2251000,1415563,62.9,1265954,56.2,149609,10.6
10,Delaware,1976,2,418000,259251,62,237881,56.9,21370,8.2
11,District of Columbia,1976,2,519000,339238,65.4,307109,59.2,32129,9.5
12,Florida,1976,2,6437000,3532354,54.9,3177608,49.4,354746,10
13,Georgia,1976,2,3528000,2232901,63.3,2034383,57.7,198518,8.9
15,Hawaii,1976,2,585000,404788,69.2,363859,62.2,40929,10.1
16,Idaho,1976,2,582000,358330,61.6,332286,57.1,26044,7.3
17,Illinois,1976,2,8136000,5056732,62.2,4679958,57.5,376774,7.5
18,Indiana,1976,2,3793000,2372450,62.5,2192301,57.8,180149,7.6
19,Iowa,1976,2,2069000,1307243,63.2,1239465,59.9,67778,5.2
20,Kansas,1976,2,1637000,1048034,64,998373,61,49661,4.7
21,Kentucky,1976,2,2465000,1468827,59.6,1368103,55.5,100724,6.9
22,Louisiana,1976,2,2678000,1475179,55.1,1382372,51.6,92807,6.3
23,Maine,1976,2,766000,464776,60.7,415959,54.3,48817,10.5
24,Maryland,1976,2,2958000,1876443,63.4,1746223,59,130220,6.9
25,Massachusetts,1976,2,4198000,2680260,63.8,2377543,56.6,302717,11.3
26,Michigan,1976,2,6424000,3898596,60.7,3482417,54.2,416179,10.7
27,Minnesota,1976,2,2793000,1800337,64.5,1671178,59.8,129159,7.2
28,Mississippi,1976,2,1644000,944479,57.5,878429,53.4,66050,7
29,Missouri,1976,2,3469000,2055004,59.2,1910048,55.1,144956,7.1
30,Montana,1976,2,532000,320302,60.2,297359,55.9,22943,7.2
31,Nebraska,1976,2,1096000,710717,64.8,680228,62.1,30489,4.3
32,Nevada,1976,2,454000,319746,70.4,287895,63.4,31851,10
33,New Hampshire,1976,2,595000,385167,64.7,354352,59.6,30815,8
34,New Jersey,1976,2,5363000,3232981,60.3,2882556,53.7,350425,10.8
35,New Mexico,1976,2,795000,466790,58.7,424410,53.4,42380,9.1
36,New York,1976,2,13202000,7623500,57.7,6769516,51.3,853984,11.2
51000,New York city,1976,2,5692000,3125104,54.9,2762371,48.5,362733,11.6
37,North Carolina,1976,2,3905000,2547938,65.2,2357077,60.4,190861,7.5
38,North Dakota,1976,2,443000,267120,60.3,255205,57.6,11915,4.5
39,Ohio,1976,2,7706000,4691022,60.9,4261115,55.3,429907,9.2
40,Oklahoma,1976,2,2003000,1159997,57.9,1079320,53.9,80677,7
41,Oregon,1976,2,1720000,1055282,61.4,933262,54.3,122020,11.6
42,Pennsylvania,1976,2,8780000,5027694,57.3,4569132,52,458562,9.1
44,Rhode Island,1976,2,692000,432221,62.5,390860,56.5,41361,9.6
